City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Christchurch,NZ,80.8,clear sky,-43.5333,172.6333,The George
140,East London,ZA,77.94,few clouds,-33.0153,27.9116,Tu Casa
142,Ramgarh,IN,78.85,few clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
144,Katobu,ID,76.53,overcast clouds,-4.9408,122.5276,La Ode Husein
146,Sabang,ID,79.77,broken clouds,5.8933,95.3214,Hotel Citra
148,Gizo,SB,84.29,light rain,-8.103,156.8419,Imagination Island
152,Quatre Cocos,MU,84.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
154,Meulaboh,ID,77.61,overcast clouds,4.1363,96.1285,Kost Pria
156,Bengkulu,ID,84.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
158,Buchanan,LR,77.02,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
159,Bambous Virieux,MU,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
160,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
162,Vazante,BR,71.87,overcast clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
167,Sumbe,AO,79.63,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
171,Bibiani,GH,73.08,overcast clouds,6.4635,-2.3194,Rodick Hotel
173,Plettenberg Bay,ZA,75.07,few clouds,-34.0527,23.3716,Thanda Vista B&B
176,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
177,Port Elizabeth,ZA,80.1,few clouds,-33.918,25.5701,39 On Nile Guest House
178,Abeche,TD,72.86,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
181,Maraa,BR,72.5,overcast clouds,-1.8333,-65.3667,
187,Atuona,PF,79.05,clear sky,-9.8,-139.0333,Villa Enata
188,Paranaiba,BR,70.5,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
193,Maumere,ID,79.95,overcast clouds,-8.6199,122.2111,Sylvia Hotel
200,Sao Filipe,CV,70.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
203,Wattegama,LK,87.01,broken clouds,6.7989,81.4808,
204,Trinidad,BO,70.84,light rain,-14.8333,-64.9,Hotel Piesta
206,Thinadhoo,MV,80.91,overcast clouds,0.5333,72.9333,
209,Simao,CN,79.5,scattered clouds,22.7886,100.9748,Changyu Hotel
213,Kalmunai,LK,81.55,overcast clouds,7.4167,81.8167,VS Villa
216,Avanigadda,IN,89.38,clear sky,16.0215,80.9181,AP Camping
